;;Total;Arena;Corridors;Intense
;samples;27;10;9;8
shots;heuristic;129.7;131.6;158.7;94.8
;unfirom;121.6;133.3;111;119
hits;heuristic;41;44.8;41.7;35.3
;unfirom;48.6;52;42.6;51.1
accuracy;heuristic;0.4;0.3;0.4;0.4
;unfirom;0.4;0.4;0.4;0.4
kills;heuristic;10;10.7;10.4;8.7
;unfirom;11.8;12.2;10.6;12.7
distance;heuristic;675.2;633.5;675.4;716.6
;unfirom;680.7;649.6;688.3;704.4
AvgKillTime;heuristic;20.2;21;18.2;21.4
;unfirom;16;15.5;17.4;15.1
AvgKillDistance;heuristic;73.3;64.2;70.8;84.9
;unfirom;60.6;55.2;68.1;58.7
difficulty;effective;heuristic;heuristic;uniform;heuristic
;percieved;heuristic;heuristic;equal;heuristic
